"city","country","venue","opening_act(s)","revenue","tour","tickets_sold","tickets_available"
"Evansville","United States","Roberts Municipal Stadium","Gloriana
Kellie Pickler",360617,"Fearless_Tour",7463,7463
"Jonesboro","United States","Convocation Center","Gloriana
Kellie Pickler",340328,"Fearless_Tour",7822,7822
"St. Louis","United States","Scottrade Center","Gloriana
Kellie Pickler",650420,"Fearless_Tour",13764,13764
"North Charleston","United States","North Charleston Coliseum","Gloriana
Kellie Pickler",398154,"Fearless_Tour",8751,8751
"Jacksonville","United States","Jacksonville Veterans Memorial Arena","Gloriana
Kellie Pickler",507012,"Fearless_Tour",11072,11072
"Biloxi","United States","Mississippi Coast Coliseum","Gloriana
Kellie Pickler",437313,"Fearless_Tour",9436,9436
"London","England","Shepherd's Bush Empire","",401328,"Fearless_Tour",6789,6789
"London","England","Shepherd's Bush Empire","",401328,"Fearless_Tour",6789,6789
"Spokane","United States","Spokane Arena","Gloriana
Kellie Pickler",482146,"Fearless_Tour",10798,10798
"Seattle","United States","KeyArena","Gloriana
Kellie Pickler",528637,"Fearless_Tour",12061,12061
"Portland","United States","Rose Garden Arena","Gloriana
Kellie Pickler",613284,"Fearless_Tour",13226,13226
"Nampa","United States","Ford Arena","Gloriana
Kellie Pickler",413622,"Fearless_Tour",8970,8970
"Glendale","United States","Jobing.com Arena","Gloriana
Kellie Pickler",647923,"Fearless_Tour",13052,13052
"Los Angeles","United States","Staples Center","Gloriana
Kellie Pickler",720940,"Fearless_Tour",13648,13648
"Paradise","United States","Mandalay Bay Events Center","Gloriana
Kellie Pickler",551051,"Fearless_Tour",8311,8311
"San Diego","United States","Valley View Casino Center","Gloriana
Kellie Pickler",502689,"Fearless_Tour",10174,10174
"Salt Lake City","United States","EnergySolutions Arena","Gloriana
Kellie Pickler",555207,"Fearless_Tour",13042,13042
"Columbia","United States","Merriweather Post Pavilion","Gloriana
Kellie Pickler",608438,"Fearless_Tour",17619,17619
"Greensboro","United States","Greensboro Coliseum","Gloriana
Kellie Pickler",690959,"Fearless_Tour",14641,14641
"Edmonton","Canada","Commonwealth Stadium","",2540906,"Fearless_Tour",33910,44500
"Winnipeg","Canada","MTS Centre","Gloriana
Kellie Pickler",512487,"Fearless_Tour",11369,11369
"New York City","United States","Madison Square Garden","Gloriana
Kellie Pickler",976062,"Fearless_Tour",13597,13597
"Montville","United States","Mohegan Sun Arena","Gloriana
Kellie Pickler",296306,"Fearless_Tour",7507,7507
"Nashville","United States","Bridgestone Arena","Gloriana
Kellie Pickler",642387,"Fearless_Tour",14269,14269
"Dallas","United States","American Airlines Center","Gloriana
Kellie Pickler",628062,"Fearless_Tour",13794,13794
"North Little Rock","United States","Verizon Arena","Gloriana
Kellie Pickler",654089,"Fearless_Tour",13978,13978
