order_id,timestamp,user_id,order_type,subtotal,tip,total
b9df65,2022-05-01 11:11:56,,onsite,42.02,6.31,48.33
293ac7,2022-05-01 11:36:29,,onsite,36.92,0,36.92
04ebec,2022-05-01 11:41:57,,carryout,12.97,1.95,14.92
5cd53f,2022-05-01 11:43:21,,carryout,27.04,4.06,31.10
4d023e,2022-05-01 11:43:26,d11cf3,onsite,13.27,2.0,15.27
e51a0e,2022-05-01 11:45:18,,onsite,27.44,0,27.44
da09a7,2022-05-01 11:52:54,3ea0ad,carryout,23.05,3.46,26.51
abe83b,2022-05-01 11:58:13,,delivery,11.98,0,11.98
af04f4,2022-05-01 11:58:55,,onsite,11.27,0,11.27
d37f9d,2022-05-01 12:07:20,,carryout,44.99,0,44.99
20afb3,2022-05-01 12:12:25,,onsite,5.99,0.9,6.89
cc67d3,2022-05-01 12:14:40,,carryout,8.97,0,8.97
79b958,2022-05-01 12:19:51,,delivery,16.77,2.52,19.29
ad1ca7,2022-05-01 12:26:02,,delivery,11.47,0,11.47
db6435,2022-05-01 12:31:26,118f55,carryout,10.97,0,10.97
db6418,2022-05-01 12:33:02,ed9e86,onsite,11.97,0,11.97
b89f3d,2022-05-01 12:56:05,,carryout,10.97,0,10.97
84155f,2022-05-01 13:01:52,1f4b8f,onsite,19.05,2.86,21.91
767ccc,2022-05-01 13:06:53,,onsite,12.47,1.88,14.35
c4c949,2022-05-01 13:07:23,,delivery,10.48,1.58,12.06
aa359e,2022-05-01 13:19:35,,carryout,55.96,0,55.96
b8d620,2022-05-01 13:26:51,,onsite,47.49,0,47.49
d13acf,2022-05-01 13:55:45,b570ba,carryout,12.47,0,12.47
f0c749,2022-05-01 14:00:43,4dbe6d,onsite,28.75,4.32,33.07
094734,2022-05-01 14:14:08,,onsite,10.97,1.65,12.62
0862bf,2022-05-01 14:52:45,364e7b,carryout,13.97,0,13.97
6d0665,2022-05-01 15:53:00,,delivery,10.77,0,10.77
03ea9b,2022-05-01 16:00:53,fe42bf,onsite,12.28,1.85,14.13
b604f5,2022-05-01 16:14:22,2567d4,delivery,15.97,0,15.97
b3697f,2022-05-01 16:14:59,de108d,carryout,9.78,1.47,11.25
210f53,2022-05-01 16:21:39,,carryout,12.27,0,12.27
63bc3f,2022-05-01 16:31:20,,onsite,34.92,5.24,40.16
0d6560,2022-05-01 16:33:03,,delivery,8.77,0,8.77
4677a1,2022-05-01 16:45:18,,delivery,50.99,7.65,58.64
b75275,2022-05-01 16:50:02,,onsite,63.65,9.55,73.20
2f7f8b,2022-05-01 17:20:12,d3041a,carryout,12.97,1.95,14.92
102d67,2022-05-01 17:34:28,,carryout,51.27,7.7,58.97
762377,2022-05-01 17:44:08,,carryout,20.75,3.12,23.87
f50005,2022-05-01 17:44:59,6ee524,onsite,16.46,0,16.46
a6772a,2022-05-01 17:54:53,,onsite,10.77,0,10.77
